,mt,mr,mre,mp
0,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",4.4,"1,20,759 Ratings & 7,003 Reviews","₹9,699"
1,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.4,"1,20,759 Ratings & 7,003 Reviews","₹9,699"
2,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",4.4,"1,20,759 Ratings & 7,003 Reviews","₹9,699"
3,"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",4.4,"7,152 Ratings & 419 Reviews","₹8,999"
4,"Infinix HOT 20 Play (Racing Black, 64 GB)",4.4,"7,152 Ratings & 419 Reviews","₹8,199"
5,"Infinix HOT 20 Play (Aurora Green, 64 GB)",4.4,"7,152 Ratings & 419 Reviews","₹8,199"
6,"Infinix HOT 20 Play (Luna Blue, 64 GB)",4.4,"7,152 Ratings & 419 Reviews","₹8,199"
7,"REDMI 9i Sport (Carbon Black, 64 GB)",4.3,"2,33,345 Ratings & 13,720 Reviews","₹7,499"
8,"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",4.4,"1,20,759 Ratings & 7,003 Reviews","₹10,699"
9,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4.5,"2,365 Ratings & 107 Reviews","₹8,999"
10,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",4.4,"1,20,759 Ratings & 7,003 Reviews","₹10,699"
11,"POCO C31 (Shadow Gray, 64 GB)",4.3,"2,00,053 Ratings & 11,623 Reviews","₹7,499"
12,"REDMI 10 (Caribbean Green, 64 GB)",4.3,"1,85,348 Ratings & 12,005 Reviews","₹9,999"
13,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",4.1,"3,862 Ratings & 395 Reviews","₹15,999"
14,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",4.5,"2,365 Ratings & 107 Reviews","₹8,999"
15,"REDMI 10 (Midnight Black, 64 GB)",4.3,"1,85,348 Ratings & 12,005 Reviews","₹9,999"
16,"APPLE iPhone 14 (Midnight, 128 GB)",4.7,"14,444 Ratings & 620 Reviews","₹71,999"
17,"POCO M4 Pro (Cool Blue, 128 GB)",4.3,"1,48,122 Ratings & 13,348 Reviews","₹13,499"
18,"POCO M4 Pro (Cool Blue, 64 GB)",4.3,"1,48,122 Ratings & 13,348 Reviews","₹11,999"
19,"MOTOROLA g52 (Charcoal Grey, 128 GB)",4.2,"26,570 Ratings & 3,176 Reviews","₹12,999"
20,"Infinix Smart 6 HD (Aqua Sky, 32 GB)",4.4,"21,397 Ratings & 1,201 Reviews","₹5,599"
21,"Infinix Smart 6 HD (Force Black, 32 GB)",4.4,"21,397 Ratings & 1,201 Reviews","₹5,599"
22,"MOTOROLA e13 (Cosmic Black, 64 GB)",4.3,"2,00,053 Ratings & 11,623 Reviews","₹7,999"
